Name of the Municiplaity/corporation,Ward No.,Ward reserved for,Total No. of Voters including service voters in the ward,Total Votes Polled (excluding PBs) in the ward,No. of Postal Ballots Polled in the ward,No. of Tendered Votes Polled in the ward,No. of Valid Votes (including PBs) in the ward,No. of Rejected Votes Polled (including PBs) in the ward,No. of Votes Polled to NOTA (including PBs) in the ward,Sl.No. of the Candidate in the ward,Name of the Contesting Candidate in the ward,No. of Valid Votes Secured (including PBs) by the candidate,Party Affiliation if any,Result
GHMC,Ward 6 - Nacharam,UR(W),54477,23431,13,0,22747,441,256,5,SHIRISHA G,65,INDEPENDENT,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,1,Kondoju Bhagya Laxmi,144,CPM,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,2,Gone Shailaja,9597,BJP,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,3,Pabbathi Vinoda Shekar Reddy,279,TDP,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,4,Bannala Geeta Praveen,10205,TRS,Elected
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,5,M. Beena Reddy,2724,INC,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,6,Vangari Lavanya,126,TJSP,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,7,Ambati Sharada Mudiraj,43,INDEPENDENT,
GHMC,Ward 7 - Chiluka nagar,UR(W),52407,23908,13,0,23180,481,260,8,Mounika Rajesh,62,INDEPENDENT,
GHMC,Ward 8 - Habsiguda,UR(W),49339,22961,22,0,22339,426,218,1,UMA REDDY BOPPANAPALLY,1969,INC,
GHMC,Ward 8 - Habsiguda,UR(W),49339,22961,22,0,22339,426,218,2,CHETHANA KAKKIRENI,10803,BJP,Elected
GHMC,Ward 8 - Habsiguda,UR(W),49339,22961,22,0,22339,426,218,3,BETHI SWAPNA REDDY,9356,TRS,
GHMC,Ward 8 - Habsiguda,UR(W),49339,22961,22,0,22339,426,218,4,UPPARI SWAPNA,152,TJSP,
GHMC,Ward 8 - Habsiguda,UR(W),49339,22961,22,0,22339,426,218,5,KASTURI VIJAYA SREE,59,INDEPENDENT,
GHMC,Ward 9 - Ramanthapur,BC(W),43583,22145,11,0,21611,320,225,1,KONDRONPALLY MADHAVI,274,TDP,
GHMC,Ward 9 - Ramanthapur,BC(W),43583,22145,11,0,21611,320,225,2,GANDHAM JYOSTHNA,9378,TRS,
GHMC,Ward 9 - Ramanthapur,BC(W),43583,22145,11,0,21611,320,225,3,THAVIDABOINA SOWMYA,1926,INC,
GHMC,Ward 9 - Ramanthapur,BC(W),43583,22145,11,0,21611,320,225,4,BANDARU SRIVANI,10033,BJP,Elected
GHMC,Ward 10 - Uppal,UR(W),55045,28178,16,0,27411,538,245,1,ARATIKAYALA SHALINI,8570,TRS,
GHMC,Ward 10 - Uppal,UR(W),55045,28178,16,0,27411,538,245,2,MEKALA SHILPA,4337,BJP,
GHMC,Ward 10 - Uppal,UR(W),55045,28178,16,0,27411,538,245,3,M RAJITHA,14504,INC,Elected
GHMC,Ward 11 - Nagole,UR(W),52380,28131,26,0,27424,377,356,1,ARUNA.CH,14560,BJP,Elected
GHMC,Ward 11 - Nagole,UR(W),52380,28131,26,0,27424,377,356,2,Cheruku Sangeetha,11314,TRS,
GHMC,Ward 11 - Nagole,UR(W),52380,28131,26,0,27424,377,356,3,BADDAM. LAKSHMI,504,TDP,
GHMC,Ward 11 - Nagole,UR(W),52380,28131,26,0,27424,377,356,4,MUSUKU.SHAILAJA,944,INC,
GHMC,Ward 11 - Nagole,UR(W),52380,28131,26,0,27424,377,356,5,PEDAVOORI.SANDYA,102,INDEPENDENT,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,1,INDRA KUMAR GOUD D.,434,TDP,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,2,KOPPULA NARSIMHA REDDY,13318,BJP,Elected
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,3,KOPPULA VITTAL REDDY,7900,TRS,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,4,PRABHAKAR REDDY JAKKIDI,3924,INC,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,5,SATHI REDDY T.,196,CPM,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,6,S AMRUTH KUMAR,19,INYJP,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,7,EEDULA VENKATESHWAR REDDY,2,INDEPENDENT,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,8,THANDA UPENDRA YADAV,29,INDEPENDENT,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,9,BURRI KRISHNA SHEKAR,29,INDEPENDENT,
GHMC,Ward 12 - Mansoorabad,UR(G),51545,26504,19,0,25867,359,297,10,VASANTHA RAILU DR.K.,16,INDEPENDENT,
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,1,GURRAM VENKATA SRINIVAS REDDY,2535,INC,
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,2,S.TIRUMALA REDDY,7777,TRS,
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,3,K.NAVAJEEVAN REDDY,14916,BJP,Elected
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,4,MAHESH REDDY M,39,AIFB,
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,5,MURALIDHAR REDDY S,801,TDP,
GHMC,Ward 13 - Hayathnagar,UR(G),52344,26643,12,0,26127,267,261,6,JENIGE VISHNUVARDHAN,59,INDEPENDENT,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,1,GADDE VIJAY,946,TDP,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,2,MUDDGOUNI LAXMI PRASANNA,11406,TRS,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,3,MODDU LACHI REDDY,11438,BJP,Elected
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,4,SADA SIVUDU M,1400,INC,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,5,KANIVENI RAJAL RAO,9,INDEPENDENT,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,6,JESWANTH REDDY MUTHYALA,66,INDEPENDENT,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,7,MUDDAGOUNI RANJITH GOUD,39,INDEPENDENT,
GHMC,Ward 14 - B.N.Reddy Nagar,UR(G),51543,26126,19,0,25433,346,366,8,RAGHUPATHI MADDELA,129,INDEPENDENT,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,1,Anil Mogga,25,AIFB,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,2,Chandra Sekhar Velaga,772,TDP,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,3,JITTA RAJASHEKAR REDDY,8512,TRS,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,4,Venkateshwar Reddy Ragula,9214,BJP,Elected
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,5,SAMA RAM MOHAN REDDY,1374,INC,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,6,Mallesham Pulimamidi,7,TJSP,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,7,K.Nagadeva,18,INDEPENDENT,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,8,Pilli Venkatesh,26,INDEPENDENT,
GHMC,Ward 15 - Vanasthalipuram,UR(G),42773,20509,9,0,19991,268,259,9,Mukkapally Siddeshwar,43,INDEPENDENT,
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,1,JHANSI RAMAVATH,242,TDP,
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,2,BANOTH SUJATHA,8036,BJP,Elected
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,3,RAMAVATH PADMA,7757,TRS,
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,4,SANGEETHA JARPEELA,3987,INC,
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,5,SRIDEVI LUNAVATH,15,INDEPENDENT,
GHMC,Ward 16 - Hasthinapuram,ST(W),41981,20755,7,0,20057,458,247,6,SILMARTH BINDU,20,INDEPENDENT,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,1,G.PRAVEEN GOUD,278,TDP,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,2,VANGA MADHUSUDHAN REDDY,15164,BJP,Elected
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,3,VINJAMURI RAGHAVA CHARY,1358,INC,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,4,SAMA RAMANA REDDY,6156,TRS,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,5,J.JAGAN,32,INDEPENDENT,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,6,K.RAKESH,45,INDEPENDENT,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,7,RAMU.GUNNERU,106,INDEPENDENT,
GHMC,Ward 17 - Champapet,UR(G),49139,23758,8,0,23163,389,214,8,SANGIPET NARESH KUMAR,24,INDEPENDENT,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,1,AKULA RAMESH GOUD,10340,BJP,Elected
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,2,CHITTALURI VENKATESHWARLU,564,TDP,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,3,DARIPALLY RAJASHEKAR REDDY,4007,INC,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,4,SRINIVASA RAO MUDRABOINA,7529,TRS,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,5,B.P MADHUSUDHAN,38,TJSP,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,6,KATLA KUMAR,39,INDEPENDENT,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,7,JAIPAL REDDY PANYALA,8,INDEPENDENT,
GHMC,Ward 18 - Lingojiguda,UR(G),47454,23173,10,0,22578,392,213,8,PARVEG SHAIK,53,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,1,ANITHA REDDY PARUPALLY,8767,TRS,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,2,AKULA SRIVANI,12085,BJP,Elected
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,3,KALPANA KUMARI YANDRA,406,TDP,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,4,CHIKKULLA JAYAMMA,848,INC,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,5,RAYABANDI SHOBA RANI,122,CPI,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,6,ARAGANDLAPALLY SUJATHA,8,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,7,GUNDE VENKATA GNANA PRASUNAMBA,22,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,8,TEKUMETLA SWARUPA,29,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,9,DEEPIKA YADAV TEKUMETLA,2,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,10,ROJA KAKI,29,INDEPENDENT,
GHMC,Ward 19 - Saroornagar,UR(W),59581,22931,9,0,22324,342,274,11,LAVANYA GADDHATI,6,INDEPENDENT,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,1,SMT. PUNNA NIRMALA,1845,INC,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,2,RADHA VEERANNAGARI,13036,BJP,Elected
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,3,VIJAYA BHARATHI.MURUKUNTLA,9106,TRS,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,4,SANDYAPOGU SUJATHA,363,TDP,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,5,RESHMA,8,AIMIM INQUILAB,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,6,SARITHA,19,TJSP,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,7,DUBBAGALLA JYOSHNA,140,INDEPENDENT,
GHMC,Ward 20 - Ramakrishnapuram,UR(W),54686,25484,5,0,24664,567,258,8,MADHAVI MANTRAVADI,147,INDEPENDENT,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,1,PAVAN KUMAR NAIKOTI,11371,BJP,Elected
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,2,MOGULLA RAJI REDDY,1284,INC,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,3,SRISAILAM TALLA,991,TDP,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,4,G.V.SAGAR REDDY,6588,TRS,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,5,ALLENA VENKATA SRI HARSHA,14,INYJP,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,6,DUDUKA RAVI SHANKAR,22,TJSP,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,7,K RAJESHWARA SHARMA,79,INDEPENDENT,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,8,R VANI,48,INDEPENDENT,
GHMC,Ward 21 - Kothapet,UR(G),45604,20938,13,0,20424,286,241,9,VEERA REDDY VANGETI,27,INDEPENDENT,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,1,GINNARAM VITTAL REDDY,5041,TRS,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,2,P.RAJESH,653,TDP,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,3,Ranga Venkat Narsimha Rao,10500,BJP,Elected
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,4,SHASHIDAR REDDY KUKUNOORU,968,INC,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,5,MADDELA PRAVEEN KUMAR,18,DBP,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,6,MANDAPURAM SRINIVAS REDDY,28,TJSP,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,7,KONDOJU VENUGOPAL CHARY,36,INDEPENDENT,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,8,G.JAGADEESHWAR,55,INDEPENDENT,
GHMC,Ward 22 - Chaitanyapuri,UR(G),43167,17772,8,0,17322,235,223,9,SHANMUKA CHARI RANGU,23,INDEPENDENT,
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,1,BADDAM PREM MAHESWAR REDDY,10712,BJP,Elected
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,2,BADDULA VENKATESH YADAV,2632,INC,
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,3,BHAVANI PRAVEEN KUMAR,6110,TRS,
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,4,M. SUNIL BABU,486,TDP,
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,5,GUNTA SHANKER,31,INDEPENDENT,
GHMC,Ward 23 - Gaddiannaram,UR(G),46911,20350,16,1,20000,160,206,6,VADDEMANI PRABHAKAR,29,INDEPENDENT,
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,1,KOTHAKAPU ARUNA,10621,BJP,Elected
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,2,GANTLA SUJANA,505,INC,
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,3,SWARNA LATHA SINGIREDDY,9710,TRS,
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,4,T.SUNITHA BHUSHAN,74,IPBP,
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,5,KAVETI SARIKA,47,INDEPENDENT,
GHMC,Ward 24 - Saidabad,UR(W),56396,21521,36,0,20999,370,188,6,NALUBOLU RANI,42,INDEPENDENT,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,1,TEEGALA SUNARITHA,8234,TRS,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,2,B. BHAGYA LAKSHMI,10353,BJP,Elected
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,3,Mrs. MASARATH JAHAN,122,CPI,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,4,SADA LAXMI. C,1996,INC,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,5,ANU RADHA,11,INDEPENDENT,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,6,CHEKOLEKAR RUKMINIBAI,29,INDEPENDENT,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,7,MEEDIDODDI SURVANA,56,INDEPENDENT,
GHMC,Ward 25 - Moosarambagh,UR(W),57239,21427,12,0,20841,385,213,8,P. LAXMI,40,INDEPENDENT,
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,1,Kanakaboina Renuka,3957,BJP,
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,2,Dr JUWERIA FATIMA,12200,AIMIM,Elected
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,3,Mrs. PAGILLA SHALINI,3693,TRS,
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,4,Mrs. FIRDOUS FATIMA,448,CPI,
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,5,Bugudala veeramani,180,INC,
GHMC,Ward 26 - Oldmalakpet,BC(W),54655,21017,1,0,20495,421,102,6,MOGUDALA KAVITHA,17,INDEPENDENT,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,1,BASUPALLI NAVEEN REDDY,5181,BJP,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,2,MADHIKUNTA SRIDHAR REDDY,2317,TRS,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,3,MOHAMMED ADIL PASHA,265,INC,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,4,SYED MINHAJUDDIN,8908,AIMIM,Elected
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,5,S.SUSHEEL KUMAR AGARWAL,99,TDP,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,6,SYED ANWAR,60,AIMIM INQUILAB,
GHMC,Ward 27 - Akberbagh,UR(G),43979,17381,4,0,16917,304,164,7,SYED ABDUL AZEEM,77,INDEPENDENT,
